번호,서명,저자,발행자,발행년,청구기호,자료실
1,해럴드와 마법 크레용 [비디오녹화자료],카를로스 살다냐 감독,소니 픽쳐스 홈엔터테인먼트 [공급],2025,DVD 688.2-2246,[해운대인문학]디지털자료실
2,나처럼 예쁜 여자 [비디오녹화자료],프랑수아 트뤼포 감독,Art Film [수입·제조],2024,DVD 688.2-2247,[해운대인문학]디지털자료실
3,조커 [비디오녹화자료] : 폴리 아 되,토드 필립스 감독,해리슨 앤 컴퍼니 [제조·판매],[2025],DVD 688.2-2248,[해운대인문학]디지털자료실
4,"신비아파트 고스트볼 ZERO [비디오녹화자료]. 2, 싹트는 울음소리, 뿌리 괴수의 진실",박홍근 총감독,뮤라인 [제작·판매],2025,DVD 688.6-1141-2,[해운대인문학]디지털자료실
5,마당을 나온 암탉 [비디오녹화자료],오성윤 감독,미디어포유 [제작·판매],2025,DVD 688.6-335=2,[해운대인문학]디지털자료실
6,더 파일럿 [비디오녹화자료] : 드론 어택,폴 듀세 감독,미디어포유 [제작·판매],2025,DVD 688.2-2249,[해운대인문학]디지털자료실
7,새터데이 나이트 [비디오녹화자료],제이슨 라이트먼 감독,소니 픽쳐스 홈엔터테인먼트 [공급],2025,DVD 688.2-2250,[해운대인문학]디지털자료실
8,구룡성채 [비디오녹화자료] : 무법지대,정바오루이 감독,플레인아카이브 [DVD 제작·판매],[2025],DVD 688.2-2251,[해운대인문학]디지털자료실
9,"신비아파트 고스트볼 ZERO [비디오녹화자료]. 3, 수상한 공사장의 비밀",박홍근 총감독,뮤라인 [제작·판매],2025,DVD 688.6-1141-3,[해운대인문학]디지털자료실
10,베리 미 트와이스 [비디오녹화자료],스티븐 라모트 감독,미디어포유 [제작],2025,DVD 688.2-2252,[해운대인문학]디지털자료실
11,블랙 쉘터 [비디오녹화자료],안소니 나르돌릴로 감독,미디어포유 [제작],2025,DVD 688.2-2253,[해운대인문학]디지털자료실
12,드래곤 기사단 [비디오녹화자료],"앙헬 이즈퀴에르도,리카르도 라몬 [공]감독",에이프릴 엔터테인먼트 [제작·판매],2025,DVD 688.6-1140,[해운대인문학]디지털자료실
13,앤젤스 셰어 [비디오녹화자료] : 천사를 위한 위스키,켄 로치 감독,유케이 미디어 [제작·판매],2025,DVD 688.2-621=2,[해운대인문학]디지털자료실
14,"신비아파트 고스트볼 ZERO 두 번째 이야기 [비디오녹화자료]. 4, 귀신님 오셨습니까? 금지된 주문, 분신사바",박홍근 총감독,뮤라인 [제작·판매],2025,DVD 688.6-1141-4,[해운대인문학]디지털자료실
15,미션 임파서블 [비디오녹화자료] : 데드 레코닝 Part one,크리스토퍼 맥쿼리 감독,해리슨 앤 컴퍼니 [제조·판매],[2023],DVD 688.2-2289-[7]=2,[해운대인문학]디지털자료실
16,어프렌티스 [비디오녹화자료] : 도널드 트럼프,알리 압바시 감독,뮤라인 [제작],2025,DVD 688.2-2254,[해운대인문학]디지털자료실
17,연소일기 [비디오녹화자료],탁역겸 감독,뮤라인 [제작],2025,DVD 688.2-2255,[해운대인문학]디지털자료실
18,서울의 봄 [비디오녹화자료],김성수 감독,인조인간 [제작·판매],[2025],DVD 688.2-2256,[해운대인문학]디지털자료실
19,우연과 상상 [비디오녹화자료],하마구치 류스케 감독,미디어포유 [제작],2025,DVD 688.2-2032=2,[해운대인문학]디지털자료실
20,빅토리 [비디오녹화자료],박범수 감독,플레인아카이브 [DVD제작·판매],[2025],DVD 688.2-2257,[해운대인문학]디지털자료실
21,오다기리 죠의 도쿄타워 [비디오녹화자료],마츠오카 조지 감독,미디어포유 [제작·판매],2025,DVD 688.2-2258,[해운대인문학]디지털자료실
22,1번 국도 [비디오녹화자료],강경태 감독,미디어포유 [제작·판매],2025,DVD 688.2-2259,[해운대인문학]디지털자료실
23,아침바다 갈매기는 [비디오녹화자료],박이웅 감독,아이브엔터테인먼트 [제작],2025,DVD 688.2-2260,[해운대인문학]디지털자료실
24,언니 유정 [비디오녹화자료],정해일 감독,아이브엔터테인먼트 [제작],2025,DVD 688.2-2261,[해운대인문학]디지털자료실
25,파문 [비디오녹화자료],오기가미 나오코 감독,아이브엔터테인먼트 [제작],2025,DVD 688.2-2262,[해운대인문학]디지털자료실
26,"신비아파트 고스트볼 ZERO 두 번째 이야기 [비디오녹화자료]. 5, 위기의 가족여행, 오싹한 귀신 캠핑장",박홍근 총감독,뮤라인 [제작·판매],2025,DVD 688.6-1141-5,[해운대인문학]디지털자료실
27,행복의 나라 [비디오디스크],추창민 감독,노바미디어 [제작],2025;,DVD 688.2-2263,[해운대인문학]디지털자료실
28,마녀들의 카니발 [비디오녹화자료],박지선 감독,미디어허브 [DVD제작],2025,DVD 688.3-118,[해운대인문학]디지털자료실
29,제로 웨이스트 [비디오녹화자료],김동현 감독,미디어허브 [DVD제작],2025,DVD 688.3-119,[해운대인문학]디지털자료실
